Feature,Importance
ReactionTimeStdDev,0.15325709344805802
KillsPerMinute,0.13253559386262515
KillDeathRatio,0.1144481539439731
MovementSpeedMax,0.1007695356371783
SpeedViolationRatio,0.08941977429978414
MovementSpeedMean,0.07168519859478793
TotalKills,0.06480874091095354
ReactionTimeMean,0.06016389502816394
OnTargetRatio,0.056765166060017455
ShotIntervalStdDev,0.04171853654872447
HitRate,0.032453538411838755
TotalDeaths,0.016225905352525143
SessionDurationSeconds,0.009717263399812071
DirectionChangesPerSecond,0.009012814697653812
ShotsPerSecond,0.007025503249070583
MovementPathEntropy,0.006331166419498154
AimAngularSpeedStdDev,0.005760150780441526
AimAngularErrorStdDev,0.005686469017576989
AimFlipRatio,0.004240304595859726
AimAngularSpeedMean,0.004039167540892125
TotalShots,0.0038531369656296826
AimAngularErrorMean,0.0028974484199872125
AimErrorSampleCount,0.0026875000962852695
TotalHits,0.002430669312404783
ShotIntervalMean,0.002067273406258262
