lambda,C,CV_AUC_mean,CV_AUC_std,Train_AUC_mean
0.001,1000.0,0.9993486842105263,0.001012046553843659,1.0
0.01,100.0,0.999203947368421,0.001268628504546728,1.0
0.1,10.0,0.9994473684210525,0.0009919604110364773,0.999993009868421
0.2,5.0,0.9994999999999999,0.0009026354150601371,0.9999851973684212
0.5,2.0,0.9995460526315789,0.000842619086662381,0.9999720394736842
1.0,1.0,0.9995657894736842,0.0007712816257764766,0.9999650493421054
2.0,0.5,0.9995394736842105,0.0007581505416256514,0.999953947368421
5.0,0.2,0.9994868421052633,0.0007087575450164288,0.9999403782894737
10.0,0.1,0.9994144736842104,0.0006537368611731422,0.9998947368421052
20.0,0.05,0.9993223684210527,0.0006243417586378179,0.9998125
100.0,0.01,0.9987302631578947,0.0007145354727571287,0.9992820723684211
1000.0,0.001,0.9946315789473685,0.0013425566836277067,0.9952828947368421
