C_FN/C_FP,Kosten_niemand,Kosten_alle,Kosten_trivial,Kosten_ML,tau_ML,Ersparnis_ML_%,Kosten_Regeln,tau_Regeln,Kosten_Kombi,tau_Kombi,Ersparnis_Kombi_%
1,28,268,28,12,0.25,57.1,26,95,12,"Regel>=95, tau>=0.25",57.1
2,56,268,56,21,0.25,62.5,51,35,21,"Regel>=95, tau>=0.25",62.5
3,84,268,84,30,0.25,64.3,67,35,30,"Regel>=95, tau>=0.25",64.3
4,112,268,112,39,0.25,65.2,83,35,39,"Regel>=95, tau>=0.25",65.2
5,140,268,140,48,0.25,65.7,99,35,48,"Regel>=95, tau>=0.25",65.7
6,168,268,168,57,0.25,66.1,115,35,57,"Regel>=95, tau>=0.25",66.1
7,196,268,196,66,0.25,66.3,131,35,66,"Regel>=95, tau>=0.25",66.3
8,224,268,224,75,0.25,66.5,147,35,75,"Regel>=60, tau>=0.25",66.5
9,252,268,252,84,0.17,66.7,163,35,82,"Regel>=60, tau>=0.25",67.5
10,280,268,268,91,0.17,66.0,179,35,89,"Regel>=60, tau>=0.25",66.8
11,308,268,268,98,0.17,63.4,195,35,96,"Regel>=60, tau>=0.25",64.2
12,336,268,268,105,0.17,60.8,211,35,103,"Regel>=60, tau>=0.25",61.6
13,364,268,268,112,0.17,58.2,227,35,110,"Regel>=60, tau>=0.25",59.0
14,392,268,268,119,0.17,55.6,243,35,117,"Regel>=60, tau>=0.25",56.3
15,420,268,268,126,0.17,53.0,259,35,124,"Regel>=60, tau>=0.25",53.7
16,448,268,268,133,0.17,50.4,264,5,131,"Regel>=60, tau>=0.25",51.1
17,476,268,268,140,0.17,47.8,264,5,138,"Regel>=60, tau>=0.25",48.5
18,504,268,268,147,0.17,45.1,264,5,145,"Regel>=60, tau>=0.25",45.9
19,532,268,268,154,0.17,42.5,264,5,152,"Regel>=60, tau>=0.25",43.3
20,560,268,268,161,0.17,39.9,264,5,159,"Regel>=60, tau>=0.25",40.7
21,588,268,268,168,0.17,37.3,264,5,166,"Regel>=60, tau>=0.25",38.1
22,616,268,268,175,0.17,34.7,264,5,173,"Regel>=60, tau>=0.15",35.4
23,644,268,268,182,0.17,32.1,264,5,179,"Regel>=60, tau>=0.15",33.2
24,672,268,268,189,0.17,29.5,264,5,185,"Regel>=60, tau>=0.15",31.0
25,700,268,268,196,0.17,26.9,264,5,191,"Regel>=60, tau>=0.15",28.7
26,728,268,268,203,0.17,24.3,264,5,197,"Regel>=60, tau>=0.15",26.5
27,756,268,268,210,0.17,21.6,264,5,203,"Regel>=60, tau>=0.15",24.3
28,784,268,268,217,0.17,19.0,264,5,209,"Regel>=60, tau>=0.15",22.0
29,812,268,268,224,0.17,16.4,264,5,215,"Regel>=60, tau>=0.15",19.8
30,840,268,268,231,0.17,13.8,264,5,221,"Regel>=60, tau>=0.15",17.5
31,868,268,268,238,0.17,11.2,264,5,227,"Regel>=60, tau>=0.15",15.3
32,896,268,268,245,0.17,8.6,264,5,233,"Regel>=60, tau>=0.15",13.1
33,924,268,268,252,0.17,6.0,264,5,239,"Regel>=60, tau>=0.15",10.8
34,952,268,268,259,0.17,3.4,264,5,245,"Regel>=60, tau>=0.15",8.6
35,980,268,268,266,0.17,0.7,264,5,251,"Regel>=60, tau>=0.15",6.3
36,1008,268,268,268,0.0,0.0,264,5,257,"Regel>=60, tau>=0.15",4.1
37,1036,268,268,268,0.0,0.0,264,5,263,"Regel>=60, tau>=0.15",1.9
38,1064,268,268,268,0.0,0.0,264,5,264,"Regel>=5, tau>=0.25",1.5
39,1092,268,268,268,0.0,0.0,264,5,264,"Regel>=5, tau>=0.25",1.5
40,1120,268,268,268,0.0,0.0,264,5,264,"Regel>=5, tau>=0.25",1.5
41,1148,268,268,268,0.0,0.0,264,5,264,"Regel>=5, tau>=0.25",1.5
42,1176,268,268,268,0.0,0.0,264,5,264,"Regel>=5, tau>=0.25",1.5
43,1204,268,268,268,0.0,0.0,264,5,264,"Regel>=5, tau>=0.25",1.5
44,1232,268,268,268,0.0,0.0,264,5,264,"Regel>=5, tau>=0.25",1.5
45,1260,268,268,268,0.0,0.0,264,5,264,"Regel>=5, tau>=0.25",1.5
46,1288,268,268,268,0.0,0.0,264,5,264,"Regel>=5, tau>=0.25",1.5
47,1316,268,268,268,0.0,0.0,264,5,264,"Regel>=5, tau>=0.25",1.5
48,1344,268,268,268,0.0,0.0,264,5,264,"Regel>=5, tau>=0.25",1.5
49,1372,268,268,268,0.0,0.0,264,5,264,"Regel>=5, tau>=0.25",1.5
50,1400,268,268,268,0.0,0.0,264,5,264,"Regel>=5, tau>=0.25",1.5
51,1428,268,268,268,0.0,0.0,264,5,264,"Regel>=5, tau>=0.25",1.5
52,1456,268,268,268,0.0,0.0,264,5,264,"Regel>=5, tau>=0.25",1.5
53,1484,268,268,268,0.0,0.0,264,5,264,"Regel>=5, tau>=0.25",1.5
54,1512,268,268,268,0.0,0.0,264,5,264,"Regel>=5, tau>=0.25",1.5
55,1540,268,268,268,0.0,0.0,264,5,264,"Regel>=5, tau>=0.25",1.5
56,1568,268,268,268,0.0,0.0,264,5,264,"Regel>=5, tau>=0.25",1.5
57,1596,268,268,268,0.0,0.0,264,5,264,"Regel>=5, tau>=0.25",1.5
58,1624,268,268,268,0.0,0.0,264,5,264,"Regel>=5, tau>=0.25",1.5
59,1652,268,268,268,0.0,0.0,264,5,264,"Regel>=5, tau>=0.25",1.5
60,1680,268,268,268,0.0,0.0,264,5,264,"Regel>=5, tau>=0.25",1.5
