Feature,Importance
AimAngularSpeedStdDev,0.11028929833404363
AimFlipRatio,0.10039207079688124
SessionDurationSeconds,0.08244492800538479
KillDeathRatio,0.07165071705537827
MovementPathEntropy,0.05922100145380826
HitRate,0.05216065175077406
TotalHits,0.049368755975223645
AimAngularSpeedMean,0.04830707186662205
TotalDeaths,0.04680398741341621
MovementSpeedMean,0.040167128573291994
AimAngularErrorMean,0.03840460929651439
DirectionChangesPerSecond,0.03729284062034669
AimErrorSampleCount,0.03001361369026169
ReactionTimeStdDev,0.026628531704802647
ShotsPerSecond,0.025790146509186797
ReactionTimeMean,0.025583031831446328
AimAngularErrorStdDev,0.02400420600805557
TotalShots,0.023120748697943328
ShotIntervalMean,0.021052923418520428
ShotIntervalStdDev,0.021038239391124754
TotalKills,0.020099190595398556
KillsPerMinute,0.017847664209568022
OnTargetRatio,0.016677133031837862
MovementSpeedMax,0.010270015671887088
SpeedViolationRatio,0.001371494098281697
