Verfahren,seed,ROC_AUC,AvgPrec,Kosten
A zufaelliger Split,0,0.8361540511727079,0.6878615266199236,75
B gruppierter Split,0,0.8001732409381662,0.6312568862398181,94
A zufaelliger Split,1,0.8163646055437099,0.7196095571950241,74
B gruppierter Split,1,0.7940431769722814,0.6629356678464126,90
A zufaelliger Split,2,0.8369536247334753,0.7003488686882765,75
B gruppierter Split,2,0.8083688699360341,0.6983560909158384,91
A zufaelliger Split,3,0.8161647121535179,0.68456259984963,79
B gruppierter Split,3,0.7661247334754798,0.6069810721727872,131
A zufaelliger Split,4,0.8330223880597014,0.6951642863786599,72
B gruppierter Split,4,0.8440165245202558,0.6760641734439734,90
A zufaelliger Split,5,0.8354211087420043,0.6850130162864243,74
B gruppierter Split,5,0.8033049040511727,0.6521888047639617,96
A zufaelliger Split,6,0.818230277185501,0.6964759778613717,75
B gruppierter Split,6,0.8069696162046909,0.7023186835814684,82
A zufaelliger Split,7,0.8583422174840084,0.7020784282068095,73
B gruppierter Split,7,0.7875133262260127,0.6470540170041922,110
A zufaelliger Split,8,0.8377531982942431,0.6949574770947627,68
B gruppierter Split,8,0.799040511727079,0.6255949554663455,108
A zufaelliger Split,9,0.8157649253731343,0.7015835830589505,86
B gruppierter Split,9,0.7466684434968017,0.5093783833289925,141
