seed,alpha,risk_tau,RAPID_FIRE,RAPID_FIRE_HIGH,REACTION_MEAN,REACTION_STD,INTERVAL_STD,AIM_FLIP_RATIO,AIM_ERROR,AIM_ERROR_HIGH,ON_TARGET_RATIO,SPEED_MAX,SPEED_VIOLATION,GOD_KILLS
0,0.005,5,9.637785921718423,9.881051230281965,0.0170325,0.0014819999999999996,0.0069435,0.0031860000000000013,4.0985045,3.5446828750000003,0.9004324908771456,1021.515886,0.0016,20
0,0.02,5,9.075471939919769,9.668960875177058,0.030812,0.018088,0.027780000000000013,0.0017,4.935830000000001,4.089798500000001,0.8876811395699219,811.5975759999992,0.0014519999999999926,20
0,0.01,5,9.548201197835269,9.955080176805216,0.020225,0.015645,0.005235999999999999,0.0020799999999999955,4.090931,3.358937,0.9005811596161644,903.204154999999,0.0016,20
0,0.01,5,9.609047638419918,9.953816574498028,0.020479999999999998,0.016216,0.00587,0.0023199999999999987,4.161158,3.362966,0.9357585375530265,916.9573959999999,0.0016,20
0,0.02,5,9.401456576243945,9.95109115775703,0.042058000000000005,0.026764,0.013068000000000003,0.0017680000000000007,4.716764,3.3716559999999998,0.8909716514592185,657.6618500000002,0.0009,20
1,0.01,5,9.609047638419918,9.953816574498028,0.020479999999999998,0.016216,0.00587,0.0023199999999999987,4.161158,3.362966,0.9357585375530265,916.9573959999999,0.0016,20
1,0.01,5,9.617923673495051,9.954014786624645,0.025212,0.016596,0.005935000000000001,0.002360000000000005,4.151519,3.362413,0.9410992767113255,918.6268680000002,0.0016,20
1,0.02,5,9.298973285065344,9.929318590798427,0.04159,0.02405,0.011190000000000002,0.0018399999999999977,4.536226,3.42975,0.8953061224489797,683.1218899999997,0.0013199999999999933,20
1,0.01,5,9.548201197835269,9.955080176805216,0.020225,0.015645,0.005235999999999999,0.0020799999999999955,4.090931,3.358937,0.9005811596161644,903.204154999999,0.0016,20
1,0.02,5,8.58263458072596,9.370532335379698,0.02063,0.017817999999999997,0.064888,0.0017,5.484204,4.2287289999999995,0.8743211267605633,778.0372479999979,0.0009,20
2,0.005,5,9.637785921718423,9.881051230281965,0.0170325,0.0014819999999999996,0.0069435,0.0031860000000000013,4.0985045,3.5446828750000003,0.9004324908771456,1021.515886,0.0016,20
2,0.02,5,9.298973285065344,9.929318590798427,0.04159,0.02405,0.011190000000000002,0.0018399999999999977,4.536226,3.42975,0.8953061224489797,683.1218899999997,0.0013199999999999933,20
2,0.01,5,9.617923673495051,9.954014786624645,0.025212,0.016596,0.005935000000000001,0.002360000000000005,4.151519,3.362413,0.9410992767113255,918.6268680000002,0.0016,20
2,0.01,5,9.609047638419918,9.953816574498028,0.020479999999999998,0.016216,0.00587,0.0023199999999999987,4.161158,3.362966,0.9357585375530265,916.9573959999999,0.0016,20
