SessionFile,PlayerID,Person,Label,CheatType,SessionDurationSeconds,AimAngularSpeedMean,AimAngularSpeedStdDev,AimAngularErrorMean,AimAngularErrorStdDev,AimErrorSampleCount,AimFlipRatio,MovementSpeedMean,MovementSpeedMax,DirectionChangesPerSecond,SpeedViolationRatio,MovementPathEntropy,ReactionTimeMean,ReactionTimeStdDev,ShotIntervalMean,ShotIntervalStdDev,ShotsPerSecond,HitRate,HeadshotRate,KillsPerMinute,KillDeathRatio,TotalShots,TotalHits,TotalKills,TotalDeaths
session_2026-08-13_12-23-24.csv,Jacins-PC-6F2FC02F43,Jacin,0,,124.8069,65.1943,91.6572,8.8118,9.7966,345,0.0,497.1283,928.6437,0.7532,0.0016,2.9767,0.1506,0.1781,0.1931,0.3686,3.5174,0.2027,0.0,2.4037,1.0,439,89,5,5
session_2026-08-13_12-23-24.csv,Phileas-PC-338CF49F4,Phileas,0,,114.7871,87.6493,118.1809,12.0388,11.3681,359,0.0,506.1247,600.0,1.1412,0.0,2.9899,0.1957,0.4736,0.1765,0.2779,3.9116,0.1893,0.0,3.6589,1.0,449,85,7,7
session_2026-08-13_12-23-24.csv,Stacjonarny-CA89EB15,Mateusz,0,,124.9395,57.7265,79.6385,9.9196,10.945,494,0.0,470.2434,600.0,0.6723,0.0,2.9826,0.1059,0.3013,0.166,0.4566,4.7703,0.2248,0.0,4.3221,1.8,596,134,9,5
session_2026-08-13_12-23-24.csv,Krystall-8CBC35F24BD,Peter,0,,124.6713,57.6222,97.1911,12.3403,11.5802,359,0.0,376.479,600.0,0.9786,0.0,2.9844,0.1442,0.4626,0.1666,0.4763,3.5453,0.1968,0.0,3.3689,1.4,442,87,7,5
session_2026-08-13_12-23-24.csv,DESKTOP-375SOSC-ECA1,Joni,0,,119.6001,40.5813,96.444,11.3005,9.5923,136,0.0008,299.9145,600.0,0.4933,0.0,2.9569,0.1042,0.1223,0.2327,0.5903,1.2625,0.106,0.0,0.0,0.0,151,16,0,6
session_2026-08-13_12-26-14.csv,Jacins-PC-6F2FC02F43,Jacin,0,,123.0739,71.8868,103.7717,10.0804,10.6241,180,0.0,554.3077,600.0,0.5606,0.0,2.9727,0.1677,0.2113,0.3287,0.6942,2.0232,0.2088,0.0,0.4875,0.1667,249,52,1,6
session_2026-08-13_12-26-14.csv,Phileas-PC-338CF49F4,Phileas,0,,124.7089,61.8127,101.367,9.5743,9.6221,246,0.0,477.46,600.0,0.4811,0.0,2.9613,0.2397,0.7402,0.2074,0.714,2.5018,0.2212,0.0,2.4056,1.0,312,69,5,5
session_2026-08-13_12-26-14.csv,Stacjonarny-CA89EB15,Mateusz,0,,139.8829,30.2223,59.3888,10.6742,11.1616,150,0.0,314.9531,600.0,0.3145,0.0,2.9807,0.2751,0.5794,0.3156,0.4597,1.5299,0.271,0.0,3.0025,3.5,214,58,7,2
session_2026-08-13_12-26-14.csv,Krystall-8CBC35F24BD,Peter,0,,129.7924,61.3322,93.861,12.6595,10.7008,486,0.0,517.8622,600.0,0.9708,0.0,2.9813,0.1099,0.2087,0.1705,0.3967,4.5688,0.1585,0.0,4.1605,2.25,593,94,9,4
session_2026-08-13_12-26-14.csv,DESKTOP-375SOSC-ECA1,Joni,0,,114.6176,56.2893,108.3294,17.6887,11.2296,121,0.0,379.6242,600.0,0.4013,0.0,2.9461,0.082,0.0412,0.1711,0.1341,1.4134,0.0988,0.0,0.5235,0.1429,162,16,1,7
